RNAlength,MEAtime,MEAf,Zuktime,Zukf
20,1,0.888889,0,0.888889
20,1,0,0,0
20,1,0,0,0
20,1,0.857143,0,0.857143
20,1,0.857143,0,0.857143
20,0,1,0,1
20,1,0.666667,0,0.666667
20,1,0.888889,0,0.888889
20,1,1,0,1
20,1,0,0,0
20,2,0.941176,0,0.941176
20,1,0,0,0
20,0,0.714286,0,0.714286
21,1,0,0,0
21,1,0.941176,0,0.941176
21,1,0.857143,0,0.857143
21,1,1,0,1
22,1,0,0,0
22,1,0.823529,0,0.823529
22,1,0.947368,0,0.947368
22,0,0.875,0,0.875
22,1,0.8,0,0.8
22,0,0.947368,0,0.947368
22,1,0.941176,0,0.941176
22,1,0.947368,0,0.947368
22,1,1,0,1
22,1,1,0,1
22,1,0,0,0
22,1,1,0,1
22,1,1,0,1
23,1,0.947368,0,0.947368
23,1,1,0,1
23,0,0,0,0
23,1,1,0,1
23,1,0.888889,0,0.888889
23,2,0.875,0,0.875
23,1,1,0,1
23,1,0.947368,0,0.947368
24,1,0.947368,0,0.947368
24,1,0.909091,0,0.909091
24,1,0.888889,0,0.888889
24,1,1,0,1
24,1,0,0,0
24,1,0.857143,0,0.857143
24,1,0,0,0
24,1,0,0,0
24,1,0.842105,0,0.842105
24,1,0,0,0
24,1,0.5,0,0.5
24,1,0.909091,0,0.909091
24,2,0.909091,0,0.909091
24,1,0,0,0
24,1,0.857143,0,0.857143
24,1,0.909091,0,0.909091
25,0,0,0,0
25,1,0,0,0
25,1,0.947368,0,0.947368
25,1,0.615385,0,0.615385
25,1,0.823529,0,0.823529
25,1,0.909091,0,0.909091
26,1,0,0,0
26,1,0.818182,0,0.818182
26,2,0.75,0,0.75
26,1,1,0,1
26,0,0.869565,0,0.869565
26,1,0.916667,0,0.916667
26,1,0,0,0
27,1,0.909091,0,0.909091
27,1,0.888889,0,0.888889
27,1,0,0,0
27,1,0.75,0,0.75
27,2,0.952381,0,0.952381
27,1,0.956522,0,0.956522
27,1,0.956522,0,0.956522
27,1,0.736842,0,0.736842
27,1,0.909091,0,0.909091
27,1,0.956522,0,0.956522
27,1,0.952381,0,0.952381
27,1,0.5,0,0.5
28,1,0,0,0
28,1,1,0,1
28,1,0.923077,0,0.923077
28,1,0.8,0,0.875
28,1,1,0,1
28,1,0.869565,0,0.869565
28,0,0.181818,0,0.875
28,1,0.952381,0,0.952381
28,1,1,0,1
28,1,0.88,0,0.923077
29,1,0,0,0
29,1,0.952381,0,0.952381
29,1,0.869565,0,0.869565
29,1,0,0,0
29,1,0.823529,0,0.823529
29,1,0.9,0,0.9
29,1,0.818182,0,0.818182
30,1,0.962963,0,0.962963
30,1,0.818182,0,0.818182
30,1,0,0,0
30,1,0,0,0
30,1,0.909091,0,0.909091
30,1,1,0,1
30,1,0.888889,0,0.888889
30,2,0.8,0,0.8
30,1,1,0,1
30,1,0.941176,0,0.888889
30,1,0.869565,0,0.869565
