Test for difference between rnafoldscore and coscore
Wilcoxon Signed-Rank Test
Null hypothesis: the median difference is zero

      difference     rank      signed rank

       -0.002207      279             -279
       -0.002336      280             -280
       -0.002398      281             -281
       -0.002662      282             -282
       -0.002713      283             -283
        0.002766      284              284
       -0.003021      285             -285
       -0.003375      286             -286
       -0.003448      287             -287
        -0.00428      288             -288
        0.005682      289              289
       -0.006173      290             -290
        0.006688      291              291
        0.007752      292              292
       -0.007759      293             -293
       -0.009444      294             -294
        0.009972      295              295
        0.010299      296              296
       -0.014035      297             -297
        0.014702      298              298
       -0.015851      299             -299
        0.016615      300              300
        0.017823      301              301
       -0.018021      302             -302
       -0.018924      303             -303
        0.018967      304              304
        0.022338      305              305
       -0.024615      306             -306
       -0.025316      307             -307
       -0.025711      308             -308
       -0.026062      309             -309
       -0.026422      310             -310
       -0.026622      311             -311
       -0.026676      312             -312
       -0.026708      313             -313
        0.027109      314              314
        0.027446      315              315
        0.027492      316              316
       -0.030956      317             -317
       -0.031268      318             -318
       -0.031649      319             -319
        0.032593      320              320
        0.032714      321              321
       -0.034986      322             -322
        0.035336      323              323
       -0.035657      324             -324
        -0.03629      325             -325
        0.041128      326              326
        0.044445      327              327
        0.044666      328              328
       -0.044965      329             -329
        0.046336      330              330
       -0.046906      331             -331
       -0.049112      332             -332
        0.053332      333              333
        0.055626      334              334
       -0.055655      335             -335
       -0.059377      336             -336
        0.059657      337              337
         0.06192      338              338
        0.064109      339              339
        0.066667      340              340
        0.066896      341              341
        0.070118      342              342
       -0.072007      343             -343
       -0.072801      344             -344
        0.077053      345              345
        0.079146      346              346
        0.081396      347              347
        0.086957      348              348
        0.087287      349              349
        0.090909      350              350
        0.092829      351              351
        0.096263      352              352
       -0.099863      353             -353
       -0.101768      354             -354
       -0.105149      355             -355
        0.105263      356              356
        0.107843      357              357
       -0.109819      358             -358
       -0.111111      359             -359
       -0.116969      360             -360
          -0.125    361.5           -361.5
          -0.125    361.5           -361.5
        -0.14394      363             -363
         0.14766      364              364
       -0.148559      365             -365
       -0.151163    366.5           -366.5
       -0.151163    366.5           -366.5
        0.163514      368              368
        -0.16616      369             -369
       -0.177911      370             -370
        -0.18556      371             -371
        0.204762      372              372
        0.230769      373              373
        0.232818      374              374
       -0.248538      375             -375
       -0.251643      376             -376
        0.258975      377              377
        0.260162      378              378
        0.262195      379              379
         0.27907      380              380
        0.321429      381              381
        0.327273      382              382
        -0.36043      383             -383
       -0.435102      384             -384
        0.473684      385              385
       -0.512821      386             -386
       -0.519481      387             -387
       -0.571429      388             -388
       -0.574713      389             -389
        0.769231      390              390
            -0.8      391             -391
       -0.947368      392             -392

  n = 114
  W+ = 17583, W- = 20664
  (zero differences: 278, non-zero ties: 2)
  Expected value = 19123.5
  Variance = 3.23883e+06
  z = -0.85571
  P(Z < -0.85571) = 0.196079
  Two-tailed p-value = 0.392158
