Test for difference between rfsscore and cosscore
Wilcoxon Signed-Rank Test
Null hypothesis: the median difference is zero

      difference     rank      signed rank

       -0.002207        1               -1
       -0.002336        2               -2
       -0.002398        3               -3
       -0.002662        4               -4
       -0.002713        5               -5
        0.002766        6                6
       -0.003021        7               -7
       -0.003375        8               -8
        -0.00428        9               -9
       -0.006173       10              -10
        0.006688       11               11
       -0.007759       12              -12
       -0.009444       13              -13
        0.009972       14               14
        0.010299       15               15
       -0.014035       16              -16
        0.014702       17               17
       -0.015851       18              -18
        0.016615       19               19
        0.017823       20               20
       -0.018924       21              -21
        0.018967       22               22
       -0.025711       23              -23
       -0.026062       24              -24
       -0.026422       25              -25
       -0.026622       26              -26
       -0.026676       27              -27
       -0.026708       28              -28
        0.027109       29               29
        0.027446       30               30
        0.027492       31               31
       -0.030956       32              -32
       -0.031268       33              -33
       -0.031649       34              -34
        0.032593       35               35
        0.032714       36               36
       -0.034986       37              -37
        0.035336       38               38
       -0.035657       39              -39
        0.041128       40               40
        0.044666       41               41
       -0.044965       42              -42
        0.046336       43               43
       -0.049112       44              -44
        0.053332       45               45
        0.055626       46               46
       -0.055655       47              -47
       -0.059377       48              -48
        0.059657       49               49
         0.06192       50               50
        0.064109       51               51
        0.070118       52               52
       -0.072007       53              -53
       -0.072801       54              -54
        0.077053       55               55
        0.079146       56               56
        0.081396       57               57
        0.096263       58               58
       -0.099863       59              -59
       -0.101768       60              -60
       -0.105149       61              -61
       -0.109819       62              -62
       -0.116969       63              -63

  n = 63
  W+ = 966, W- = 1050
  (zero differences: 0, non-zero ties: 0)
  Expected value = 1008
  Variance = 21336
  z = -0.284113
  P(Z < -0.284113) = 0.388162
  Two-tailed p-value = 0.776324
