Test for difference between rnafoldscore and meascore
Wilcoxon Signed-Rank Test
Null hypothesis: the median difference is zero

      difference     rank      signed rank

        0.000883      267              267
       -0.002399      268             -268
       -0.002444      269             -269
       -0.002787      270             -270
       -0.002921      271             -271
       -0.002928      272             -272
       -0.002956      273             -273
        0.003448      274              274
       -0.003469      275             -275
       -0.003474      276             -276
       -0.003518      277             -277
       -0.003605      278             -278
        0.003766      279              279
       -0.004102      280             -280
       -0.004382      281             -281
       -0.005266      282             -282
       -0.006733      283             -283
        0.006864      284              284
       -0.006948      285             -285
        0.007098      286              286
       -0.007143      287             -287
        -0.00813      288             -288
        -0.00905      289             -289
       -0.009125      290             -290
       -0.010695      291             -291
       -0.011348      292             -292
       -0.011362      293             -293
         -0.0125      294             -294
       -0.012612      295             -295
       -0.012666      296             -296
       -0.012685      297             -297
       -0.013526      298             -298
       -0.014142      299             -299
       -0.014263      300             -300
       -0.015629      301             -301
        0.015711      302              302
       -0.015882      303             -303
       -0.016324      304             -304
        -0.01634      305             -305
        0.016705      306              306
       -0.016817      307             -307
        0.016994      308              308
        0.017308      309              309
        0.017519      310              310
        0.018275      311              311
       -0.018287      312             -312
        0.018774      313              313
       -0.019655      314             -314
       -0.020057      315             -315
        0.021106      316              316
        0.022338      317              317
        0.022356      318              318
        -0.02381      319             -319
       -0.024615      320             -320
        0.025253      321              321
        0.026568      322              322
        0.027138      323              323
       -0.027345      324             -324
       -0.027709      325             -325
       -0.028947      326             -326
       -0.030145      327             -327
        0.030174      328              328
       -0.030736      329             -329
       -0.030747      330             -330
       -0.030888      331             -331
        0.031311      332              332
        -0.03352      333             -333
        0.034091      334              334
        -0.03423      335             -335
        0.035087      336              336
        0.035714      337              337
       -0.038297      338             -338
       -0.039215      339             -339
        -0.04065      340             -340
         0.04159      341              341
         0.04219      342              342
        0.043077      343              343
       -0.043845      344             -344
        0.044514      345              345
        0.046126      346              346
        0.046905      347              347
       -0.047368      348             -348
        0.047619      349              349
           -0.05    350.5           -350.5
           -0.05    350.5           -350.5
       -0.050416      352             -352
       -0.051596      353             -353
        0.051953      354              354
       -0.052287      355             -355
        0.055586      356              356
        0.056039      357              357
       -0.056116      358             -358
        0.057249      359              359
        0.057566      360              360
        0.058102      361              361
       -0.062274      362             -362
        0.063095      363              363
        0.063128      364              364
        0.069603      365              365
       -0.071164      366             -366
        -0.07311      367             -367
           0.075      368              368
       -0.075099      369             -369
       -0.076157      370             -370
         -0.0788    371.5           -371.5
         -0.0788    371.5           -371.5
        0.084137      373              373
       -0.084546      374             -374
        0.094721      375              375
        0.098801      376              376
        -0.10938      377             -377
        0.109594      378              378
        0.111111      379              379
       -0.114207      380             -380
        0.121351      381              381
        0.164924      382              382
        0.221099      383              383
         0.27907      384              384
       -0.308621      385             -385
        0.321429      386              386
        0.327273      387              387
        0.340643      388              388
        0.473684      389              389
        0.693182      390              390
        0.764706      391              391
        0.769231      392              392

  n = 126
  W+ = 19287, W- = 22230
  (zero differences: 266, non-zero ties: 2)
  Expected value = 20758.5
  Variance = 3.46163e+06
  z = -0.790628
  P(Z < -0.790628) = 0.214581
  Two-tailed p-value = 0.429161
