Test for difference between rfsscore and measscore
Wilcoxon Signed-Rank Test
Null hypothesis: the median difference is zero

      difference     rank      signed rank

        0.000883        1                1
       -0.002399        2               -2
       -0.002444        3               -3
       -0.002787        4               -4
       -0.002921        5               -5
       -0.002928        6               -6
       -0.002956        7               -7
        0.003448        8                8
       -0.003469        9               -9
       -0.003474       10              -10
       -0.003518       11              -11
       -0.003605       12              -12
        0.003766       13               13
       -0.004102       14              -14
       -0.004382       15              -15
       -0.005266       16              -16
        0.006864       17               17
       -0.006948       18              -18
        0.007098       19               19
       -0.011362       20              -20
       -0.012612       21              -21
       -0.014263       22              -22
        0.015711       23               23
       -0.016324       24              -24
        0.016994       25               25
        0.017519       26               26
       -0.018287       27              -27
        0.018774       28               28
       -0.019655       29              -29
       -0.020057       30              -30
        0.021106       31               31
        0.022356       32               32
        0.025253       33               33
        0.026568       34               34
        0.027138       35               35
       -0.027345       36              -36
       -0.027709       37              -37
       -0.030145       38              -38
        0.030174       39               39
       -0.030736       40              -40
       -0.030747       41              -41
        0.031311       42               42
        -0.03352       43              -43
        -0.03423       44              -44
       -0.038297       45              -45
         0.04159       46               46
         0.04219       47               47
       -0.043845       48              -48
        0.046126       49               49
        0.046905       50               50
       -0.051596       51              -51
        0.051953       52               52
        0.055586       53               53
        0.056039       54               54
       -0.056116       55              -55
        0.057249       56               56
        0.057566       57               57
        0.058102       58               58
       -0.062274       59              -59
        0.069603       60               60
       -0.071164       61              -61
       -0.076157       62              -62
        0.084137       63               63

  n = 63
  W+ = 1051, W- = 965
  (zero differences: 0, non-zero ties: 0)
  Expected value = 1008
  Variance = 21336
  z = 0.290959
  P(Z > 0.290959) = 0.385541
  Two-tailed p-value = 0.771082
