Test for difference between meascore and coscore
Wilcoxon Signed-Rank Test
Null hypothesis: the median difference is zero

      difference     rank      signed rank

         9.9e-05      254              254
       -0.000379      255             -255
       -0.001359      256             -256
        0.002581      257              257
       -0.002741      258             -258
       -0.003386      259             -259
        0.003695      260              260
       -0.005355      261             -261
        0.006235      262              262
        0.006733      263              263
       -0.007683      264             -264
        0.007704      265              265
       -0.008421      266             -266
         0.00905      267              267
        0.009125      268              268
        0.010695      269              269
        0.011348      270              270
       -0.011448      271             -271
        0.011787      272              272
        0.011954      273              273
        0.012016      274              274
        0.012685      275              275
        0.013526      276              276
        0.014142      277              277
       -0.015331      278             -278
        0.015629      279              279
        0.015882    280.5            280.5
        0.015882    280.5            280.5
       -0.016121      282             -282
        0.017204      283              283
        0.018182      284              284
       -0.018344      285             -285
       -0.021767      286             -286
       -0.023504      287             -287
        0.023661      288              288
        0.023726      289              289
         0.02381      290              290
        0.024921      291              291
       -0.025018      292             -292
         0.02617      293              293
        0.028817      294              294
        0.028947      295              295
       -0.029281      296             -296
        0.030888      297              297
        0.031026      298              298
        0.031051      299              299
       -0.031275      300             -300
        -0.03251      301             -301
       -0.033518      302             -302
       -0.034091      303             -303
       -0.034625      304             -304
       -0.035087      305             -305
         0.03567      306              306
        0.036111      307              307
        -0.03629      308             -308
       -0.037763      309             -309
        0.038008      310              310
       -0.038599      311             -311
        0.039215      312              312
        0.039438      313              313
         0.04065      314              314
        0.042081      315              315
       -0.042521      316             -316
       -0.042698      317             -317
       -0.043077      318             -318
       -0.044514      319             -319
        0.044889      320              320
        0.047368      321              321
        0.047594      322              322
       -0.047619      323             -323
            0.05    324.5            324.5
            0.05    324.5            324.5
       -0.051929      326             -326
        0.052287      327              327
         -0.0532      328             -328
        0.054515      329              329
        -0.05557      330             -330
        -0.05906      331             -331
         0.06028      332              332
        0.061568      333              333
       -0.063128      334             -334
       -0.068012      335             -335
       -0.068248      336             -336
       -0.068812      337             -337
       -0.068841      338             -338
       -0.069127      339             -339
        0.070189      340              340
       -0.071353      341             -341
       -0.071366      342             -342
        -0.07289      343             -343
       -0.075004      344             -344
        0.075683      345              345
       -0.078672      346             -346
          0.0788    347.5            347.5
          0.0788    347.5            347.5
       -0.079072      349             -349
       -0.079899      350             -350
        0.081545      351              351
        0.084064      352              352
        0.084546      353              353
        0.086957      354              354
        0.087287      355              355
        0.090909      356              356
        0.092829      357              357
        0.095238      358              358
       -0.098801      359             -359
        0.105263      360              360
        0.107625      361              361
       -0.111111    362.5           -362.5
       -0.111111    362.5           -362.5
        0.141667      364              364
         0.14766      365              365
       -0.148559      366             -366
       -0.151163    367.5           -367.5
       -0.151163    367.5           -367.5
        0.163514      369              369
        0.180953      370              370
            -0.2      371             -371
        0.216113      372              372
        0.226481      373              373
        0.230769      374              374
       -0.232198      375             -375
       -0.234826      376             -376
        0.241667      377              377
       -0.268005      378             -378
       -0.272632      379             -379
       -0.287511      380             -380
        0.308621      381              381
       -0.310014      382             -382
       -0.340643      383             -383
       -0.435102      384             -384
       -0.512821      385             -385
       -0.519481      386             -386
       -0.571429      387             -387
       -0.574713      388             -388
       -0.698039      389             -389
            -0.8      390             -390
       -0.818182      391             -391
       -0.947368      392             -392

  n = 139
  W+ = 22015, W- = 22882
  (zero differences: 253, non-zero ties: 5)
  Expected value = 22448.5
  Variance = 3.68138e+06
  z = -0.225675
  P(Z < -0.225675) = 0.410727
  Two-tailed p-value = 0.821455
