Test for difference between measscore and cosscore
Wilcoxon Signed-Rank Test
Null hypothesis: the median difference is zero

      difference     rank      signed rank

         9.9e-05        1                1
       -0.000379        2               -2
       -0.001359        3               -3
        0.002581        4                4
       -0.002741        5               -5
       -0.003386        6               -6
        0.006235        7                7
       -0.007683        8               -8
        0.007704        9                9
       -0.008421       10              -10
       -0.011448       11              -11
        0.011787       12               12
        0.011954       13               13
        0.012016       14               14
       -0.015331       15              -15
       -0.016121       16              -16
        0.017204       17               17
       -0.018344       18              -18
       -0.021767       19              -19
       -0.023504       20              -20
        0.023661       21               21
        0.023726       22               22
        0.024921       23               23
       -0.025018       24              -24
        0.028817       25               25
       -0.029281       26              -26
        0.031026       27               27
        0.031051       28               28
       -0.031275       29              -29
        -0.03251       30              -30
       -0.033518       31              -31
       -0.034625       32              -32
         0.03567       33               33
        0.036111       34               34
       -0.037763       35              -35
        0.038008       36               36
       -0.038599       37              -37
        0.039438       38               38
        0.042081       39               39
       -0.042521       40              -40
        0.044889       41               41
        0.047594       42               42
       -0.051929       43              -43
         -0.0532       44              -44
        0.054515       45               45
        -0.05557       46              -46
        -0.05906       47              -47
         0.06028       48               48
        0.061568       49               49
       -0.068012       50              -50
       -0.068248       51              -51
       -0.068812       52              -52
       -0.069127       53              -53
        0.070189       54               54
       -0.071366       55              -55
        -0.07289       56              -56
       -0.075004       57              -57
        0.075683       58               58
       -0.078672       59              -59
       -0.079072       60              -60
       -0.079899       61              -61
        0.081545       62               62
        0.107625       63               63

  n = 63
  W+ = 865, W- = 1151
  (zero differences: 0, non-zero ties: 0)
  Expected value = 1008
  Variance = 21336
  z = -0.97557
  P(Z < -0.97557) = 0.164639
  Two-tailed p-value = 0.329278
